video_id,v_pub_datetime,v_total_comments,v_year_views,v_month_views,v_week_views,v_day_views,v_likes,v_dislikes,v_duration,v_cr_click_like_7_days,v_cr_click_dislike_7_days,v_cr_click_vtop_7_days,v_cr_click_long_view_7_days,v_cr_click_comment_7_days,v_cr_click_like_30_days,v_cr_click_dislike_30_days,v_cr_click_vtop_30_days,v_cr_click_long_view_30_days,v_cr_click_comment_30_days,v_cr_click_like_1_days,v_cr_click_dislike_1_days,v_cr_click_vtop_1_days,v_cr_click_long_view_1_days,v_cr_click_comment_1_days,v_is_hidden,v_is_deleted,v_avg_watchtime_1_day,v_avg_watchtime_7_day,v_avg_watchtime_30_day,v_frac_avg_watchtime_1_day_duration,v_frac_avg_watchtime_7_day_duration,v_frac_avg_watchtime_30_day_duration,v_category_popularity_percent_7_days,v_category_popularity_percent_30_days,v_long_views_1_days,v_long_views_7_days,v_long_views_30_days,row_number,title,description,category_id,author_id,title_length
3660b920-6174-45f1-8c9e-0a66799aac1c,2024-07-05 14:21:01+03:00,6,15920,15920,71,38,7264,2,380.523,0.0,1.408450704225352,0.0,9.859154929577464,0.0,45.62814070351759,0.01256281407035176,45.60929648241206,74.18341708542714,0.02512562814070352,0.0,0.0,0.0,0.0,0.0,0,0,44.526315789473685,61.859154929577464,228.28354271356784,0.11701346775220862,0.1625635110875754,0.5999204849997709,2.148317553914142,1.867869624714608,0,7,11810,1,Что послушать? ❤️ Выпуск 29,"Новый релиз от меня лично, новый стиль Клавы Коки и новые позитивные вайбы от White Gallows и The Limba! 😍 Действительно, в этом видео новое всё, но неизменно одно - я снова делюсь с вами своей подборкой недели, чтобы вы кайфанули и пополнили свой плейлист! 🥰 Пишите, какие треки особенно зашли! 🫶🏻",Музыка,be873212-de8e-4ac4-9b0d-16414cec22f5,298
cdaf2e0c-db29-450f-9511-72f983fed955,2024-06-22 20:03:38+03:00,7,19813,230,79,23,7133,6,375.083,0.0,0.0,0.0,17.72151898734177,0.0,0.0,0.0,0.0,27.82608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0,0,67.91304347826087,79.81012658227849,96.95217391304348,0.18106137435783778,0.2127799089328988,0.25848191976987356,3.2053509111007266,2.417749819715075,0,14,64,1,Что послушать? ❤️ Выпуск 28,"Вспомним старый трек Максим, поплачем под «Если б ты знал» или потанцуем под «Целовала»? 😃 Решать только вам, ну а я снова собрала для вас классную подборку тех треков, которые особенно зацепили меня на этой неделе! ☺️ Делитесь, что больше всего понравилось вам и пишите комментарии! ❤️",Музыка,be873212-de8e-4ac4-9b0d-16414cec22f5,286
af898e9c-c144-4745-9287-7fdfbe641307,2024-06-19 14:05:36+03:00,5,12204,1802,43,1,5709,0,372.587,0.0,0.0,0.0,25.58139534883721,0.0,0.49944506104328523,0.0,0.5549389567147613,55.27192008879023,0.0,0.0,0.0,0.0,0.0,0.0,0,0,167.0,106.0,180.8829078801332,0.4482174633038727,0.28449731203718864,0.48547831212611603,1.7679655003750043,1.7693189145965844,0,11,996,1,Что послушать? ❤️ Выпуск 27,"Новый выпуск и новые эмоции от самой лучшей подборки треков, которые я всю неделю собирала, чтобы поделиться с вами! 🥰 Делитесь, какие понравились и запомнились больше всего, а какие вы бы вычеркнули из этого выпуска! ☺️",Музыка,be873212-de8e-4ac4-9b0d-16414cec22f5,220
eabda0cf-71ce-419a-a17f-1b8cb8a7b95b,2024-07-14 18:18:23+03:00,10,12425,12425,112,12,4904,3,366.72,0.0,0.8928571428571429,0.0,19.642857142857142,0.0,39.46881287726358,0.02414486921529175,39.501006036217305,75.6056338028169,0.02414486921529175,0.0,0.0,0.0,0.0,0.0,0,0,48.166666666666664,68.76785714285714,221.03734406438633,0.13134453170447932,0.18752142545499872,0.602741448692153,1.939041211119168,1.8122533032318837,0,22,9394,1,Что послушать? ❤️ Выпуск 30,"Лето в самом разгаре, но какие вечеринки на закате проходят без классных треков? 😃 А чтобы ваш плейлист не был однообразным и скучным, я снова подготовила для вас список отборных новинок! ☺️ Пишите, что вам понравилось больше всего! ❤️",Музыка,be873212-de8e-4ac4-9b0d-16414cec22f5,235
a5245ddb-48f8-44f7-8568-ddb22110db8f,2024-07-19 18:27:34+03:00,7,14004,14004,2143,349,4840,3,388.033,0.0,0.0,0.0,54.08306112925805,0.0,34.5615538417595,0.021422450728363324,34.532990574121676,69.26592402170809,0.021422450728363324,0.0,0.0,0.0,0.0,0.0,0,0,111.61031518624642,143.16518898740085,209.8245501285347,0.2876309880506205,0.3689510659851117,0.5407389323292985,2.148317553914142,1.867869624714608,0,1159,9700,1,Что послушать? ❤️ Выпуск 31,"Сегодня новинки этой недели по моей версии - от любимой группы Та сторона до совсем молодых исполнителей, таких как Неотмирасего 😊 Что из моей подборки пришлось больше всего вам по душе? ☺️ Пишите и делитесь своими предпочтениями! ❤️",Музыка,be873212-de8e-4ac4-9b0d-16414cec22f5,233
e4be932a-c3f1-4826-889c-4be393311b84,2024-06-05 21:12:32+03:00,5,17947,101,36,8,4892,4,371.84,0.0,2.7777777777777777,0.0,27.77777777777778,0.0,0.0,0.9900990099009901,0.0,38.613861386138616,0.0,0.0,0.0,0.0,0.0,0.0,0,0,111.75,121.19444444444444,145.26732673267327,0.30053248709122204,0.32593170300248614,0.39067159728021,3.497065046463277,2.7052329533629074,0,10,39,1,Что послушать? ❤️ Выпуск 25,"Летний вайб навевает нам желание слушать яркие и крутые треки 🥰 Так уже повелось, что каждое лето сопровождается какой-то песней, которая буквально будет ассоциироваться с ним ☺️ Кто знает, может именно такой трек мы найдем в этой подборке? 👀",Музыка,be873212-de8e-4ac4-9b0d-16414cec22f5,242
82ae57bc-7d45-4db5-9c78-58bf951139bc,2024-07-20 02:39:19+03:00,2153,146368,146368,17808,2690,3596,85,204.843,1.3814016172506738,0.02807726864330638,0.6401617250673854,68.69946091644205,0.03369272237196765,2.456821163095759,0.05807280279842589,1.4729995627459553,77.02366637516397,0.015030607783121994,0.0,0.0,0.0,0.0,0.0,0,0,145.8256505576208,142.8711814914645,139.6304383471797,0.7118898403051157,0.6974667501035647,0.6816461306814473,3.497065046463277,2.7052329533629074,0,12234,112738,1,SHAMAN - ДУША НАРАСПАШКУ (музыка и слова: SHAMAN),Идея клипа: SHAMAN Продакшен: Иван Шелаханов  Гастрольный тур по городам России: shamanofficial.ru/afisha SHAMAN в социальных сетях: vk.com/shaman_me t.me/shaman_channel  Сотрудничество: email,Музыка,c2aced48-b09a-4c7f-91e7-e4e8a41d7ec1,192
891e12dc-70b7-4e66-8b4d-c5999d7dbc06,2024-06-12 21:49:19+03:00,6,20042,15361,8,0,4439,0,385.387,0.0,0.0,0.0,12.5,0.0,15.402643057092638,0.0,15.42217303560966,94.31677625154612,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,59.875,382.75047197448083,0.0,0.15536331012722276,0.9931587520452969,1.619409971082533,1.8804052560315327,0,1,14488,1,Что послушать? ❤️ Выпуск 26,"Новый выпуск и новый список треков, которые я очень рекомендую к вашему прослушиванию! 😍 Молодые исполнители или те, которые уже годами заявляют о себе и сумели создать себе прочную репутацию настоящих артистов? ☺️ А может вам вообще по душе на этой неделе что-то другое? 👀 Если это так, присылайте в комментарии те треки, которые на репите у вас! ❤️",Музыка,be873212-de8e-4ac4-9b0d-16414cec22f5,350
f99322db-9407-4970-aa31-9b2caa1d8e6f,2024-08-01 17:31:35+03:00,34,41568,41568,13774,511,4112,5,443.414,3.622767533033251,0.0,5.924205023958182,65.13721504283433,0.007260055176419341,9.892224788298691,0.012028483448806774,11.234603541185527,63.89289838337182,0.012028483448806774,0.0,0.0,0.0,0.0,0.0,0,0,347.12133072407045,218.92326121678525,236.8175760200154,0.7828380040415288,0.49372203226958383,0.5340778054369402,3.497065046463277,2.7052329533629074,0,8972,26559,1,Backstage KAITANA «Дорога в Хилтон» part.2,Съемка Сколково часть 2 BAKCSTAGE Москва EP | Слышу,Музыка,630b31ba-d28b-454e-ae69-81ea77c42727,51
f184f663-6078-4d7f-b930-85e18a12be63,2023-12-03 10:40:24+03:00,4,21743,7,6,0,3881,0,195.734,0.0,0.0,0.0,66.66666666666667,0.0,0.0,0.0,0.0,57.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,58.333333333333336,50.0,0.0,0.2980235080943185,0.25544872122370155,2.6935560516942996,2.0198877798779775,0,4,4,1,Угадай трек 🥰 В гостях Люцик Ок,"Популярный блогер попробует угадать 5 популярнейших треков и выиграть суперприз! 😍 Получится ли у него это сделать, сможет ли он проявить максимум своих музыкальных познаний, - узнаем прямо сейчас в новом выпуске нашего любимого шоу! ❤️",Музыка,be873212-de8e-4ac4-9b0d-16414cec22f5,236
